board_size,strategy,attempt,step_count,factor,success,time
3,Stochastic_0,1,439,0.1,True,0.1338791259986465
3,Stochastic_0,2,941,0.1,True,0.29064562400162686
3,Stochastic_0,3,2482,0.1,True,0.759795550002309
3,Stochastic_0,4,367,0.1,True,0.11201517500012415
3,Stochastic_0,5,452,0.1,True,0.13808139100001426
3,Stochastic_0,6,388,0.1,True,0.11863936600275338
3,Stochastic_0,7,254,0.1,True,0.07749243100261083
3,Stochastic_0,8,232,0.1,True,0.07085224599723006
3,Stochastic_0,9,24,0.1,True,0.007253636998939328
3,Stochastic_0,10,223,0.1,True,0.06816665200312855
3,Stochastic_0,11,446,0.1,True,0.13644528499571607
3,Stochastic_0,12,1053,0.1,True,0.3220703010010766
3,Stochastic_0,13,98,0.1,True,0.029853945001377724
3,Stochastic_0,14,1115,0.1,True,0.3412962279981002
3,Stochastic_0,15,906,0.1,True,0.2771881110020331
3,Stochastic_0,16,381,0.1,True,0.11636330399778672
3,Stochastic_0,17,228,0.1,True,0.06940572900202824
3,Stochastic_0,18,300,0.1,True,0.09157071399386041
3,Stochastic_0,19,1339,0.1,True,0.40917803600314073
3,Stochastic_0,20,101,0.1,True,0.030862277002597693
3,Stochastic_0,21,160,0.1,True,0.04890381499717478
3,Stochastic_0,22,551,0.1,True,0.16848285600281088
3,Stochastic_0,23,11,0.1,True,0.0032788489988888614
3,Stochastic_0,24,286,0.1,True,0.08778822100430261
3,Stochastic_0,25,344,0.1,True,0.10509306400490459
3,Stochastic_0,1,87,0.3,True,0.026713495994044933
3,Stochastic_0,2,670,0.3,True,0.20427844199730316
3,Stochastic_0,3,212,0.3,True,0.06430289800482569
3,Stochastic_0,4,52,0.3,True,0.01582814200082794
3,Stochastic_0,5,918,0.3,True,0.27672844900371274
3,Stochastic_0,6,44,0.3,True,0.013154922999092378
3,Stochastic_0,7,129,0.3,True,0.038883020999492146
3,Stochastic_0,8,1309,0.3,True,0.39476649800053565
3,Stochastic_0,9,2384,0.3,True,0.71946668199962
3,Stochastic_0,10,638,0.3,True,0.19178147099592024
3,Stochastic_0,11,457,0.3,True,0.13745484899845906
3,Stochastic_0,12,266,0.3,True,0.08006112599832704
3,Stochastic_0,13,15,0.3,True,0.004347680005594157
3,Stochastic_0,14,892,0.3,True,0.2686859630048275
3,Stochastic_0,15,152,0.3,True,0.04572217300301418
3,Stochastic_0,16,1130,0.3,True,0.3406523070007097
3,Stochastic_0,17,181,0.3,True,0.054269230997306295
3,Stochastic_0,18,42,0.3,True,0.01253351999912411
3,Stochastic_0,19,495,0.3,True,0.1492507820003084
3,Stochastic_0,20,994,0.3,True,0.29935403000126826
3,Stochastic_0,21,65,0.3,True,0.019801574999291915
3,Stochastic_0,22,390,0.3,True,0.1174620239980868
3,Stochastic_0,23,64,0.3,True,0.019201188006263692
3,Stochastic_0,24,226,0.3,True,0.0680238589993678
3,Stochastic_0,25,17,0.3,True,0.005061046002083458
3,Stochastic_0,1,375,0.6,True,0.11644835100014461
3,Stochastic_0,2,548,0.6,True,0.16991231399879325
3,Stochastic_0,3,232,0.6,True,0.07146445599937579
3,Stochastic_0,4,428,0.6,True,0.13074911299918313
3,Stochastic_0,5,33,0.6,True,0.009975883003789932
3,Stochastic_0,6,60,0.6,True,0.018224669998744503
3,Stochastic_0,7,856,0.6,True,0.26147288500214927
3,Stochastic_0,8,110,0.6,True,0.033365704999596346
3,Stochastic_0,9,277,0.6,True,0.08461100299609825
3,Stochastic_0,10,81,0.6,True,0.02468902100372361
3,Stochastic_0,11,166,0.6,True,0.05065570399892749
3,Stochastic_0,12,859,0.6,True,0.2625674149967381
3,Stochastic_0,13,950,0.6,True,0.29060748900519684
3,Stochastic_0,14,72,0.6,True,0.021821471003931947
3,Stochastic_0,15,438,0.6,True,0.13381571699574124
3,Stochastic_0,16,1193,0.6,True,0.3645016800001031
3,Stochastic_0,17,261,0.6,True,0.07973791400581831
3,Stochastic_0,18,64,0.6,True,0.019469822000246495
3,Stochastic_0,19,1419,0.6,True,0.433788681999431
3,Stochastic_0,20,254,0.6,True,0.07739847299671965
3,Stochastic_0,21,791,0.6,True,0.24198321199946804
3,Stochastic_0,22,876,0.6,True,0.26753342099982547
3,Stochastic_0,23,61,0.6,True,0.01850166099757189
3,Stochastic_0,24,1133,0.6,True,0.3464963990045362
3,Stochastic_0,25,771,0.6,True,0.23571604899916565
3,Stochastic_0,1,775,0.9,True,0.2399848179993569
3,Stochastic_0,2,984,0.9,True,0.300373218000459
3,Stochastic_0,3,170,0.9,True,0.05159509499935666
3,Stochastic_0,4,4,0.9,True,0.0010634829959599301
3,Stochastic_0,5,295,0.9,True,0.08948842500103638
3,Stochastic_0,6,1322,0.9,True,0.40196274500340223
3,Stochastic_0,7,2070,0.9,True,0.629117242002394
3,Stochastic_0,8,41,0.9,True,0.012374085999908857
3,Stochastic_0,9,2,0.9,True,0.0004368920053821057
3,Stochastic_0,10,2,0.9,True,0.0004332000025897287
3,Stochastic_0,11,4,0.9,True,0.0010661479973350652
3,Stochastic_0,12,531,0.9,True,0.16146791400387883
3,Stochastic_0,13,1213,0.9,True,0.3687536729994463
3,Stochastic_0,14,72,0.9,True,0.02179051100392826
3,Stochastic_0,15,237,0.9,True,0.07201924300170504
3,Stochastic_0,16,2,0.9,True,0.0004322400054661557
3,Stochastic_0,17,2,0.9,True,0.0004383199993753806
3,Stochastic_0,18,436,0.9,True,0.13249103400448803
3,Stochastic_0,19,485,0.9,True,0.14726132299983874
3,Stochastic_0,20,882,0.9,True,0.26852747600059956
3,Stochastic_0,21,641,0.9,True,0.19510828200145625
3,Stochastic_0,22,743,0.9,True,0.22642148900195025
3,Stochastic_0,23,291,0.9,True,0.0883009969984414
3,Stochastic_0,24,2,0.9,True,0.00043417199776740745
3,Stochastic_0,25,1421,0.9,True,0.43236295899987454
3,Stochastic_0,1,75,0.1,True,0.023225372002343647
3,Stochastic_0,2,226,0.1,True,0.06942670100397663
3,Stochastic_0,3,61,0.1,True,0.018582263997814152
3,Stochastic_0,4,19,0.1,True,0.00563459000113653
3,Stochastic_0,5,896,0.1,True,0.2754941970051732
3,Stochastic_0,6,1317,0.1,True,0.40054135299578775
3,Stochastic_0,7,188,0.1,True,0.057237845998315606
3,Stochastic_0,8,672,0.1,True,0.2045413230007398
3,Stochastic_0,9,195,0.1,True,0.05950213500182144
3,Stochastic_0,10,730,0.1,True,0.22162332299922127
3,Stochastic_0,11,68,0.1,True,0.02048358700267272
3,Stochastic_0,12,2892,0.1,True,0.881475401998614
3,Stochastic_0,13,459,0.1,True,0.1396748490005848
3,Stochastic_0,14,1,0.1,True,6.947699876036495e-05
3,Stochastic_0,15,77,0.1,True,0.02331695400062017
3,Stochastic_0,16,584,0.1,True,0.17791812799987383
3,Stochastic_0,17,762,0.1,True,0.23220014800608624
3,Stochastic_0,18,1293,0.1,True,0.3929481839950313
3,Stochastic_0,19,259,0.1,True,0.07876462199783418
3,Stochastic_0,20,433,0.1,True,0.13154193200170994
3,Stochastic_0,21,548,0.1,True,0.16703030200005742
3,Stochastic_0,22,830,0.1,True,0.25240112600295106
3,Stochastic_0,23,527,0.1,True,0.1603853970009368
3,Stochastic_0,24,145,0.1,True,0.04406950200063875
3,Stochastic_0,25,1117,0.1,True,0.3405462209993857
3,Stochastic_0,1,890,0.3,True,0.27330664500186685
3,Stochastic_0,2,84,0.3,True,0.025478609000856522
3,Stochastic_0,3,126,0.3,True,0.0380367629986722
3,Stochastic_0,4,308,0.3,True,0.09283471399976406
3,Stochastic_0,5,173,0.3,True,0.051951426998130046
3,Stochastic_0,6,94,0.3,True,0.028191711004183162
3,Stochastic_0,7,6,0.3,True,0.0016506769970874302
3,Stochastic_0,8,748,0.3,True,0.22532711900566937
3,Stochastic_0,9,27,0.3,True,0.008034424994548317
3,Stochastic_0,10,66,0.3,True,0.01982422700530151
3,Stochastic_0,11,186,0.3,True,0.05572961199504789
3,Stochastic_0,12,474,0.3,True,0.14282116299727932
3,Stochastic_0,13,795,0.3,True,0.23978508900472661
3,Stochastic_0,14,64,0.3,True,0.019190122999134474
3,Stochastic_0,15,74,0.3,True,0.022222781997697894
3,Stochastic_0,16,1100,0.3,True,0.33164619599847356
