board_size,strategy,attempt,step_count,factor,success,time
5,Stochastic_0,1,5000,0.7,False,7.511423711999981
5,Stochastic_0,2,5000,0.7,False,7.187692131000006
5,Stochastic_0,3,5000,0.7,False,6.597087246000001
5,Stochastic_0,4,5000,0.7,False,6.765750155999996
5,Stochastic_0,5,5000,0.7,False,7.178429134000027
5,Stochastic_0,6,5000,0.7,False,7.196267895999995
5,Stochastic_0,7,5000,0.7,False,7.208708747000003
5,Stochastic_0,8,5000,0.7,False,7.212199392000002
5,Stochastic_0,9,5000,0.7,False,7.2158843579999825
5,Stochastic_0,10,5000,0.7,False,7.7468314590000205
5,Stochastic_0,1,5000,0.1,False,7.541121958000076
5,Stochastic_0,2,5000,0.1,False,6.5383693690000655
5,Stochastic_0,3,5000,0.1,False,5.188678428999992
5,Stochastic_0,4,5000,0.1,False,4.597000608000144
5,Stochastic_0,5,5000,0.1,False,5.436248275000025
5,Stochastic_0,6,5000,0.1,False,6.13208640300013
5,Stochastic_0,7,5000,0.1,False,6.3541196520000085
5,Stochastic_0,8,5000,0.1,False,6.328092298000001
5,Stochastic_0,9,5000,0.1,False,6.5476802919999955
5,Stochastic_0,10,5000,0.1,False,6.550893325999823
5,Stochastic_0,1,5000,0.1,False,1.9565684960000453
5,Stochastic_0,2,5000,0.1,False,1.9462309939999614
5,Stochastic_0,3,5000,0.1,False,1.9467830430000959
5,Stochastic_0,4,5000,0.1,False,1.9509933629999523
5,Stochastic_0,5,5000,0.1,False,1.9606162739999036
5,Stochastic_0,6,5000,0.1,False,1.946835276999991
5,Stochastic_0,1,10000,0.1,False,3.8890076069999395
5,Stochastic_0,2,10000,0.1,False,3.893570081000007
5,Stochastic_0,3,10000,0.1,False,3.8899596249998467
5,Stochastic_0,4,10000,0.1,False,3.889208965999842
5,Stochastic_0,5,10000,0.1,False,3.890531274000068
5,Stochastic_0,6,10000,0.1,False,3.8936562399999275
5,Stochastic_0,7,10000,0.1,False,3.887297933000127
5,Stochastic_0,8,10000,0.1,False,3.8916701919999923
5,Stochastic_0,9,10000,0.1,False,3.890287742000055
5,Stochastic_0,10,10000,0.1,False,3.889524197000128
5,Stochastic_0,1,10000,0.1,False,4.004191305000006
5,Stochastic_0,2,10000,0.1,False,4.000465644000002
5,Stochastic_0,3,10000,0.1,False,4.002328062000018
5,Stochastic_0,4,10000,0.1,False,3.9830579329999978
5,Stochastic_0,5,10000,0.1,False,3.928718110999995
5,Stochastic_0,6,10000,0.1,False,3.929788911000003
5,Stochastic_0,7,10000,0.1,False,3.9185299700000087
5,Stochastic_0,8,10000,0.1,False,3.9295503940000174
5,Stochastic_0,9,10000,0.1,False,3.923860886
5,Stochastic_0,10,10000,0.1,False,3.931434308000007
5,Stochastic_0,1,10000,0.2,False,3.975440074000062
5,Stochastic_0,2,10000,0.2,False,3.9253867320001063
5,Stochastic_0,3,10000,0.2,False,3.9003378949998933
5,Stochastic_0,4,10000,0.2,False,3.894651692999787
5,Stochastic_0,5,10000,0.2,False,3.8998352680000608
5,Stochastic_0,6,10000,0.2,False,3.9100787200000013
5,Stochastic_0,7,10000,0.2,False,3.910017876999973
5,Stochastic_0,8,10000,0.2,False,3.9086761849998766
