board_size,strategy,attempt,step_count,factor,success,time
3,StochasticLine,13,6,0.1,True,0.0016030160040827468
3,StochasticLine,14,34,0.1,True,0.009688190999440849
3,StochasticLine,15,113,0.1,True,0.03240879999793833
3,StochasticLine,16,16,0.1,True,0.0044770399981644005
3,StochasticLine,17,44,0.1,True,0.012487211999541614
3,StochasticLine,18,67,0.1,True,0.019122757003060542
3,StochasticLine,19,6,0.1,True,0.0015491259982809424
3,StochasticLine,20,37,0.1,True,0.010453556998982094
3,StochasticLine,21,83,0.1,True,0.023822898998332676
3,StochasticLine,22,19,0.1,True,0.005282899001031183
3,StochasticLine,23,6,0.1,True,0.0015482340022572316
3,StochasticLine,24,17,0.1,True,0.0047517719940515235
3,StochasticLine,25,27,0.1,True,0.007597538999107201
3,StochasticLine,1,18,0.3,True,0.005024910002248362
3,StochasticLine,2,839,0.3,True,0.2355452490010066
3,StochasticLine,3,59,0.3,True,0.016497778000484686
3,StochasticLine,4,438,0.3,True,0.12183811000431888
3,StochasticLine,5,15,0.3,True,0.003979581000749022
3,StochasticLine,6,216,0.3,True,0.059451187000377104
3,StochasticLine,7,41,0.3,True,0.011203636997379363
3,StochasticLine,8,222,0.3,True,0.06122750100621488
3,StochasticLine,9,395,0.3,True,0.10900799999944866
3,StochasticLine,10,327,0.3,True,0.09048146400164114
3,StochasticLine,11,48,0.3,True,0.01317287400161149
3,StochasticLine,12,406,0.3,True,0.11181956299697049
3,StochasticLine,13,394,0.3,True,0.10863900299591478
3,StochasticLine,14,51,0.3,True,0.013921789999585599
3,StochasticLine,15,157,0.3,True,0.04324411100242287
3,StochasticLine,16,31,0.3,True,0.008483570003591012
3,StochasticLine,17,453,0.3,True,0.12482160600484349
3,StochasticLine,18,69,0.3,True,0.01905003099818714
3,StochasticLine,19,139,0.3,True,0.03824718200485222
3,StochasticLine,20,37,0.3,True,0.010176818999752868
3,StochasticLine,21,17,0.3,True,0.004520091999438591
3,StochasticLine,22,54,0.3,True,0.014816708004218526
3,StochasticLine,23,134,0.3,True,0.03705196300143143
3,StochasticLine,24,10,0.3,True,0.00263169299432775
3,StochasticLine,25,215,0.3,True,0.05920800600142684
3,StochasticLine,1,721,0.6,True,0.20583574099873658
3,StochasticLine,2,897,0.6,True,0.25225229500210844
3,StochasticLine,3,57,0.6,True,0.015848191003897227
3,StochasticLine,4,58,0.6,True,0.016124252004374284
3,StochasticLine,5,162,0.6,True,0.04532427699450636
3,StochasticLine,6,176,0.6,True,0.04908489199442556
3,StochasticLine,7,468,0.6,True,0.13066050999623258
3,StochasticLine,8,398,0.6,True,0.11144385900115594
3,StochasticLine,9,788,0.6,True,0.22053268300078344
3,StochasticLine,10,499,0.6,True,0.1396972860020469
3,StochasticLine,11,547,0.6,True,0.15292321200104197
3,StochasticLine,12,89,0.6,True,0.02481951999652665
3,StochasticLine,13,388,0.6,True,0.10849470700486563
3,StochasticLine,14,394,0.6,True,0.10991342800116399
3,StochasticLine,15,543,0.6,True,0.15197275000537047
3,StochasticLine,16,74,0.6,True,0.02063506999547826
3,StochasticLine,17,1661,0.6,True,0.46438215899979696
3,StochasticLine,18,104,0.6,True,0.0290830400044797
3,StochasticLine,19,34,0.6,True,0.009401403003721498
3,StochasticLine,20,126,0.6,True,0.035208454995881766
3,StochasticLine,21,1198,0.6,True,0.33483814100327436
3,StochasticLine,22,680,0.6,True,0.1899008740001591
3,StochasticLine,23,1778,0.6,True,0.4974202020021039
3,StochasticLine,24,47,0.6,True,0.013107840000884607
3,StochasticLine,25,572,0.6,True,0.16018409200478345
3,StochasticLine,1,2,0.9,True,0.0005278149983496405
3,StochasticLine,2,2,0.9,True,0.0004259570050635375
