board_size,strategy,attempt,step_count,factor,success,time
5,StochasticLine,1,666,0.7,True,0.8286801840000635
5,StochasticLine,2,5000,0.7,False,6.3777903110000125
5,StochasticLine,3,5000,0.7,False,5.478144016999977
5,StochasticLine,4,3701,0.7,True,3.977381101999981
5,StochasticLine,5,5000,0.7,False,5.427165856999977
5,StochasticLine,1,5000,0.1,False,5.36615993700002
5,StochasticLine,2,5000,0.1,False,5.259094312999878
5,StochasticLine,3,5000,0.1,False,5.283602811000037
5,StochasticLine,4,5000,0.1,False,5.225170915000035
5,StochasticLine,5,5000,0.1,False,5.271717363999869
5,StochasticLine,6,5000,0.1,False,5.329026731000113
5,StochasticLine,7,5000,0.1,False,5.914816753999958
5,StochasticLine,8,5000,0.1,False,5.6014344969999
5,StochasticLine,9,841,0.1,True,0.9041985210001258
5,StochasticLine,10,3967,0.1,True,4.307686265000029
5,StochasticLine,1,5000,0.1,False,1.6894634069999483
5,StochasticLine,2,5000,0.1,False,1.6590077210003074
5,StochasticLine,3,5000,0.1,False,1.6617676780001602
5,StochasticLine,4,5000,0.1,False,1.6686130869998124
5,StochasticLine,5,5000,0.1,False,1.6852480409997952
5,StochasticLine,6,5000,0.1,False,1.662235487000089
5,StochasticLine,7,5000,0.1,False,1.652537234999727
5,StochasticLine,8,5000,0.1,False,1.68196887699969
5,StochasticLine,9,5000,0.1,False,1.6804651299999023
5,StochasticLine,10,5000,0.1,False,1.6641277639996588
5,StochasticLine,1,10000,0.1,False,3.3852071579999574
5,StochasticLine,2,10000,0.1,False,3.3988541120002083
5,StochasticLine,3,10000,0.1,False,3.388146474999985
5,StochasticLine,4,10000,0.1,False,3.3986356140001135
5,StochasticLine,5,10000,0.1,False,3.3684722469999997
5,StochasticLine,6,10000,0.1,False,3.3595469370000046
5,StochasticLine,7,10000,0.1,False,3.3917203770001834
5,StochasticLine,8,10000,0.1,False,3.377204069000072
5,StochasticLine,9,1734,0.1,True,0.5776113100000657
5,StochasticLine,10,10000,0.1,False,3.3776316440000755
5,StochasticLine,1,10000,0.2,False,3.325790474999849
5,StochasticLine,2,10000,0.2,False,3.32367634000002
5,StochasticLine,3,10000,0.2,False,3.3406689920002464
5,StochasticLine,4,10000,0.2,False,3.349889811000139
5,StochasticLine,5,10000,0.2,False,3.3512105919999158
5,StochasticLine,6,10000,0.2,False,3.3434591580003143
5,StochasticLine,7,10000,0.2,False,3.330896758000108
5,StochasticLine,8,10000,0.2,False,3.323659742000018
5,StochasticLine,9,10000,0.2,False,3.3327128619998803
5,StochasticLine,10,10000,0.2,False,3.328823330999967
5,StochasticLine,1,10000,0.2,False,3.3542330969999057
5,StochasticLine,2,10000,0.2,False,3.3293506540003364
5,StochasticLine,3,10000,0.2,False,3.335294560999955
5,StochasticLine,4,10000,0.2,False,3.2929988139999296
5,StochasticLine,5,10000,0.2,False,3.316491903000042
5,StochasticLine,6,10000,0.2,False,3.3322092319999683
5,StochasticLine,7,10000,0.2,False,3.3253533669999342
5,StochasticLine,8,10000,0.2,False,3.342360727000141
5,StochasticLine,9,10000,0.2,False,3.3254682840001806
5,StochasticLine,10,10000,0.2,False,3.3319289860000936
5,StochasticLine,1,10000,0.2,False,3.3949274589995184
5,StochasticLine,2,10000,0.2,False,3.375428259999353
5,StochasticLine,3,10000,0.2,False,3.3509440620000532
5,StochasticLine,4,10000,0.2,False,3.3341200200002277
5,StochasticLine,5,10000,0.2,False,3.380786720999822
5,StochasticLine,6,10000,0.2,False,3.3581998169993312
5,StochasticLine,7,10000,0.2,False,3.3675932259993715
