board_size,strategy,attempt,step_count,factor,success,time
3,greedySquare,1,2,0.1,True,0.0005750459968112409
3,greedySquare,2,10,0.1,True,0.0029793970024911687
3,greedySquare,3,6,0.1,True,0.0017707259976305068
3,greedySquare,4,9,0.1,True,0.002668929999344982
3,greedySquare,5,5,0.1,True,0.0013838220038451254
3,greedySquare,6,4,0.1,True,0.001062677001755219
3,greedySquare,7,4,0.1,True,0.0010559139991528355
3,greedySquare,8,4,0.1,True,0.0010651819975464605
3,greedySquare,9,7,0.1,True,0.002036972997302655
3,greedySquare,10,5,0.1,True,0.0013931020002928562
3,greedySquare,11,4,0.1,True,0.0011332799986121245
3,greedySquare,12,9,0.1,True,0.002605415997095406
3,greedySquare,13,9,0.1,True,0.002798344998154789
3,greedySquare,14,5,0.1,True,0.0015142219999688677
3,greedySquare,15,5,0.1,True,0.0015119879972189665
3,greedySquare,16,5,0.1,True,0.0014812929948675446
3,greedySquare,17,6,0.1,True,0.0018154400022467598
3,greedySquare,18,11,0.1,True,0.003400634006538894
3,greedySquare,19,3,0.1,True,0.0008510340048815124
3,greedySquare,20,6,0.1,True,0.0018911939987447113
3,greedySquare,21,5,0.1,True,0.001473403004638385
3,greedySquare,22,10,0.1,True,0.0030384180063265376
3,greedySquare,23,8,0.1,True,0.0024496680052834563
3,greedySquare,24,6,0.1,True,0.0018189350012107752
3,greedySquare,25,6,0.1,True,0.0018829910040949471
3,greedySquare,1,17,0.3,True,0.005454737998661585
3,greedySquare,2,45,0.3,True,0.014423833999899216
3,greedySquare,3,18,0.3,True,0.005771944997832179
3,greedySquare,4,13,0.3,True,0.004112418995646294
3,greedySquare,5,11,0.3,True,0.0033330830046907067
3,greedySquare,6,41,0.3,True,0.013180036999983713
3,greedySquare,7,65,0.3,True,0.02085723700292874
3,greedySquare,8,74,0.3,True,0.02369695399829652
3,greedySquare,9,11,0.3,True,0.003409723001823295
3,greedySquare,10,4,0.3,True,0.001142744004027918
3,greedySquare,11,15,0.3,True,0.004773138003656641
3,greedySquare,12,16,0.3,True,0.005087716999696568
3,greedySquare,13,22,0.3,True,0.006823058996815234
3,greedySquare,14,20,0.3,True,0.006273617997067049
3,greedySquare,15,10,0.3,True,0.0031522279969067313
3,greedySquare,16,49,0.3,True,0.01583145900076488
3,greedySquare,17,58,0.3,True,0.01862279999477323
3,greedySquare,18,43,0.3,True,0.013680110998393502
3,greedySquare,19,5,0.3,True,0.0015351140027632937
3,greedySquare,20,9,0.3,True,0.002751181003986858
3,greedySquare,21,13,0.3,True,0.004062437001266517
3,greedySquare,22,4,0.3,True,0.0011212250028620474
3,greedySquare,23,9,0.3,True,0.002767539001069963
3,greedySquare,24,4,0.3,True,0.0011088250030297786
3,greedySquare,25,17,0.3,True,0.005323088997101877
3,greedySquare,1,314,0.6,True,0.10281694700097432
3,greedySquare,2,71,0.6,True,0.023150375003751833
3,greedySquare,3,74,0.6,True,0.024007790998439305
3,greedySquare,4,288,0.6,True,0.09349299000314204
3,greedySquare,5,309,0.6,True,0.1003263140009949
3,greedySquare,6,312,0.6,True,0.09973419600282796
3,greedySquare,7,718,0.6,True,0.23010268899815856
3,greedySquare,8,274,0.6,True,0.08781699700193712
3,greedySquare,9,27,0.6,True,0.008603691996540874
3,greedySquare,10,435,0.6,True,0.13935175300139235
3,greedySquare,11,198,0.6,True,0.06330265200085705
3,greedySquare,12,276,0.6,True,0.088155181001639
3,greedySquare,13,218,0.6,True,0.06977770500088809
3,greedySquare,14,53,0.6,True,0.01684870800090721
3,greedySquare,15,101,0.6,True,0.0322138219999033
