board_size,strategy,attempt,step_count,factor,success,time
5,greedySquare,1,17,0.7,True,0.021205778999956237
5,greedySquare,2,20,0.7,True,0.025038153999958013
5,greedySquare,3,16,0.7,True,0.020010154000033253
5,greedySquare,4,13,0.7,True,0.015836935000038466
5,greedySquare,5,16,0.7,True,0.01971840599992447
5,greedySquare,6,22,0.7,True,0.027160916999946494
5,greedySquare,7,16,0.7,True,0.01950676299998122
5,greedySquare,8,13,0.7,True,0.015790978000040923
5,greedySquare,9,23,0.7,True,0.028691002999948978
5,greedySquare,10,12,0.7,True,0.014275623999992604
5,greedySquare,1,27,0.1,True,0.03517732300019816
5,greedySquare,2,33,0.1,True,0.043004646000099456
5,greedySquare,3,13,0.1,True,0.016341772000032506
5,greedySquare,4,15,0.1,True,0.018862406000152987
5,greedySquare,5,11,0.1,True,0.013426774999970803
5,greedySquare,6,11,0.1,True,0.013395427999967069
5,greedySquare,7,8,0.1,True,0.00963360599985208
5,greedySquare,8,24,0.1,True,0.030729371999996147
5,greedySquare,9,9,0.1,True,0.010956357000168282
5,greedySquare,10,15,0.1,True,0.018778763000000254
5,greedySquare,1,7,0.1,True,0.005315889000030438
5,greedySquare,2,19,0.1,True,0.015760498999952688
5,greedySquare,3,19,0.1,True,0.015495741999984602
5,greedySquare,4,13,0.1,True,0.01048687999991671
5,greedySquare,5,17,0.1,True,0.013938885999777995
5,greedySquare,6,16,0.1,True,0.013088854999750765
5,greedySquare,7,12,0.1,True,0.009600375999980315
5,greedySquare,8,16,0.1,True,0.013073962999897049
5,greedySquare,9,10,0.1,True,0.007858800000121846
5,greedySquare,10,17,0.1,True,0.014010344999860536
5,greedySquare,1,9,0.1,True,0.0069256740000582795
5,greedySquare,2,12,0.1,True,0.009669384000062564
5,greedySquare,3,12,0.1,True,0.009734805999869423
5,greedySquare,4,8,0.1,True,0.006198048999976891
5,greedySquare,5,17,0.1,True,0.014124891999927058
5,greedySquare,6,14,0.1,True,0.011167919999934384
5,greedySquare,7,15,0.1,True,0.011957630999859248
5,greedySquare,8,13,0.1,True,0.010360129999980927
5,greedySquare,9,16,0.1,True,0.012974024999948597
5,greedySquare,10,15,0.1,True,0.01230619700004354
5,greedySquare,1,21,0.2,True,0.017477980999956344
5,greedySquare,2,31,0.2,True,0.02592109499983053
5,greedySquare,3,39,0.2,True,0.032118485999944824
5,greedySquare,4,61,0.2,True,0.050742856000397296
5,greedySquare,5,28,0.2,True,0.023306129000047804
5,greedySquare,6,27,0.2,True,0.02271901500034801
5,greedySquare,7,81,0.2,True,0.06813950700006899
5,greedySquare,8,39,0.2,True,0.03241785899990646
5,greedySquare,9,60,0.2,True,0.04999314400038202
5,greedySquare,10,69,0.2,True,0.05800187700015158
5,greedySquare,1,32,0.2,True,0.026377286000297318
5,greedySquare,2,23,0.2,True,0.018774792999920464
5,greedySquare,3,22,0.2,True,0.018024749999767664
5,greedySquare,4,126,0.2,True,0.10555996299990511
5,greedySquare,5,56,0.2,True,0.04658679400017718
5,greedySquare,6,89,0.2,True,0.07451444899970738
5,greedySquare,7,28,0.2,True,0.022861279999688122
5,greedySquare,8,46,0.2,True,0.03858518199967875
5,greedySquare,9,18,0.2,True,0.014736043000084464
5,greedySquare,10,83,0.2,True,0.06913286799999696
5,greedySquare,1,28,0.2,True,0.023576560000037716
5,greedySquare,2,47,0.2,True,0.039899588000480435
5,greedySquare,3,88,0.2,True,0.0755343319997337
5,greedySquare,4,81,0.2,True,0.06847943399952783
5,greedySquare,5,48,0.2,True,0.040318307999768876
5,greedySquare,6,21,0.2,True,0.0175704980001683
5,greedySquare,7,118,0.2,True,0.10015717500027677
5,greedySquare,8,48,0.2,True,0.04051250500015158
5,greedySquare,9,38,0.2,True,0.032947175999652245
5,greedySquare,10,158,0.2,True,0.13404300899946975
5,greedySquare,1,1314,0.3,True,1.1339026749999448
5,greedySquare,2,1753,0.3,True,1.4992830200000071
5,greedySquare,3,5000,0.3,False,4.274280626999939
5,greedySquare,4,2028,0.3,True,1.7351194369999803
5,greedySquare,5,2010,0.3,True,1.7198903860000883
5,greedySquare,6,2904,0.3,True,2.487487523000027
5,greedySquare,7,1309,0.3,True,1.11832443600008
5,greedySquare,8,2764,0.3,True,2.362112500999956
5,greedySquare,9,3036,0.3,True,2.5980637319999005
5,greedySquare,10,64,0.3,True,0.05342188899999201
5,greedySquare,1,5000,0.4,False,4.3258256859999165
5,greedySquare,2,5000,0.4,False,4.319118362999916
5,greedySquare,3,5000,0.4,False,4.318513224000071
5,greedySquare,4,5000,0.4,False,4.315758534999986
5,greedySquare,5,5000,0.4,False,4.319905040000094
5,greedySquare,6,5000,0.4,False,4.31307217199992
5,greedySquare,7,5000,0.4,False,4.319702473000007
5,greedySquare,8,5000,0.4,False,4.3187835200001246
5,greedySquare,9,2504,0.4,True,2.1629047480000736
5,greedySquare,10,5000,0.4,False,4.316658979000067
5,greedySquare,1,3710,0.3,True,3.181475520999811
5,greedySquare,2,19,0.3,True,0.015577956999550224
5,greedySquare,3,2243,0.3,True,1.917946679999659
5,greedySquare,4,171,0.3,True,0.1453213169988885
5,greedySquare,5,343,0.3,True,0.2919391679988621
5,greedySquare,6,1068,0.3,True,0.9108130630011146
5,greedySquare,7,1772,0.3,True,1.5132490559990401
5,greedySquare,8,573,0.3,True,0.4896403189995908
5,greedySquare,9,674,0.3,True,0.575958109999192
5,greedySquare,10,827,0.3,True,0.7072791130012774
5,greedySquare,11,1512,0.3,True,1.2920974499993463
5,greedySquare,12,3998,0.3,True,3.4171353300007468
5,greedySquare,13,983,0.3,True,0.8380715500006772
5,greedySquare,14,314,0.3,True,0.2680552860001626
5,greedySquare,15,3375,0.3,True,2.8866488080002455
5,greedySquare,16,2522,0.3,True,2.155228851999709
5,greedySquare,17,3240,0.3,True,2.7682392269998672
5,greedySquare,18,2277,0.3,True,1.9438613820002502
5,greedySquare,19,152,0.3,True,0.12937967899961222
5,greedySquare,20,416,0.3,True,0.35468894800033013
5,greedySquare,21,1057,0.3,True,0.9010274569991452
5,greedySquare,22,853,0.3,True,0.7290447619998304
5,greedySquare,23,2495,0.3,True,2.1319128579998505
5,greedySquare,24,2434,0.3,True,2.07860682700084
5,greedySquare,25,291,0.3,True,0.24796632600009616
5,greedySquare,1,9,0.05,True,0.006999390999681054
5,greedySquare,2,9,0.05,True,0.007006947000263608
5,greedySquare,3,13,0.05,True,0.010540087000208587
5,greedySquare,4,10,0.05,True,0.007942166000248108
5,greedySquare,5,10,0.05,True,0.007948652999857586
5,greedySquare,6,14,0.05,True,0.011457428000085201
5,greedySquare,7,10,0.05,True,0.007733944999927189
5,greedySquare,8,11,0.05,True,0.008771562999754678
5,greedySquare,9,17,0.05,True,0.013904893000017182
5,greedySquare,10,11,0.05,True,0.008640024999749585
5,greedySquare,11,9,0.05,True,0.007034504999865021
5,greedySquare,12,12,0.05,True,0.009758984999734821
5,greedySquare,13,11,0.05,True,0.008953568999913841
5,greedySquare,14,7,0.05,True,0.005265458999929251
5,greedySquare,15,9,0.05,True,0.007013919999735663
5,greedySquare,16,13,0.05,True,0.010357372000271425
5,greedySquare,17,10,0.05,True,0.007855636999920534
5,greedySquare,18,11,0.05,True,0.008751237000069523
5,greedySquare,19,10,0.05,True,0.008136326000112604
5,greedySquare,20,9,0.05,True,0.007202234000033059
5,greedySquare,21,8,0.05,True,0.006045428000106767
5,greedySquare,22,7,0.05,True,0.005183606000173313
5,greedySquare,23,5,0.05,True,0.0035690459999386803
5,greedySquare,24,11,0.05,True,0.008732583999972121
5,greedySquare,25,6,0.05,True,0.004353033999905165
5,greedySquare,1,9,0.1,True,0.007025292000435002
5,greedySquare,2,20,0.1,True,0.016601217999777873
5,greedySquare,3,10,0.1,True,0.007757032999506919
5,greedySquare,4,19,0.1,True,0.01574206100031006
5,greedySquare,5,12,0.1,True,0.009698166000816855
5,greedySquare,6,13,0.1,True,0.010517151000385638
5,greedySquare,7,20,0.1,True,0.016408043000410544
5,greedySquare,8,15,0.1,True,0.012216295000143873
5,greedySquare,9,13,0.1,True,0.010537377999753517
5,greedySquare,10,12,0.1,True,0.009547145000396995
5,greedySquare,11,13,0.1,True,0.01044101600018621
5,greedySquare,12,21,0.1,True,0.017505779000202892
5,greedySquare,13,16,0.1,True,0.013346750999517099
5,greedySquare,14,11,0.1,True,0.008757611999499204
5,greedySquare,15,12,0.1,True,0.009646743999837781
5,greedySquare,16,24,0.1,True,0.020227303999490687
5,greedySquare,17,12,0.1,True,0.009697397000309138
5,greedySquare,18,10,0.1,True,0.007920012000795396
5,greedySquare,19,11,0.1,True,0.008744314000068698
