board_size,strategy,attempt,step_count,factor,success,time
3,Stochastic_2,1,57,0.1,True,0.0701443450016086
3,Stochastic_2,2,2238,0.1,True,2.578075652003463
3,Stochastic_2,3,1633,0.1,True,1.8525361700012581
3,Stochastic_2,4,1358,0.1,True,1.5458979920003912
3,Stochastic_2,5,489,0.1,True,0.5533160420018248
3,Stochastic_2,6,2334,0.1,True,2.638320815000043
3,Stochastic_2,7,809,0.1,True,0.9108518689972698
3,Stochastic_2,8,1487,0.1,True,1.706294692994561
3,Stochastic_2,9,1041,0.1,True,1.2030778319967794
3,Stochastic_2,10,315,0.1,True,0.3599692919960944
3,Stochastic_2,11,512,0.1,True,0.5886215379941859
3,Stochastic_2,12,1204,0.1,True,1.3875589329982176
3,Stochastic_2,13,1169,0.1,True,1.3473990009952104
3,Stochastic_2,14,208,0.1,True,0.23631762400327716
3,Stochastic_2,15,2289,0.1,True,2.636435596003139
3,Stochastic_2,16,10,0.1,True,0.01020621600036975
3,Stochastic_2,17,52,0.1,True,0.05840175400226144
3,Stochastic_2,18,554,0.1,True,0.6364150700028404
3,Stochastic_2,19,892,0.1,True,1.0242637459959951
3,Stochastic_2,20,1065,0.1,True,1.2259132170001976
3,Stochastic_2,21,1961,0.1,True,2.2664044150005793
3,Stochastic_2,22,1586,0.1,True,1.8210737269982928
3,Stochastic_2,23,775,0.1,True,0.8901119739966816
3,Stochastic_2,24,449,0.1,True,0.5193791130004684
3,Stochastic_2,25,547,0.1,True,0.6336091190023581
3,Stochastic_2,1,894,0.3,True,1.0481936360010877
3,Stochastic_2,2,154,0.3,True,0.18044350799755193
3,Stochastic_2,3,1332,0.3,True,1.511286304994428
3,Stochastic_2,4,245,0.3,True,0.27702387000317685
3,Stochastic_2,5,2629,0.3,True,2.9903810909963795
3,Stochastic_2,6,1254,0.3,True,1.4313897090032697
3,Stochastic_2,7,410,0.3,True,0.4670572799950605
3,Stochastic_2,8,141,0.3,True,0.15771118799602846
